時刻,体表温度,体動,脈周期[ms],ラベル
2023/08/02 17:35:59,35.900001525878906,,689.0,2
2023/08/02 17:36:00,36.0,,689.0,2
2023/08/02 17:36:01,36.0,1.0,689.0,2
2023/08/02 17:36:02,36.0,1.0,689.0,2
2023/08/02 17:36:03,36.0,1.0,689.0,2
2023/08/02 17:36:04,36.0,,689.0,2
2023/08/02 17:36:05,36.0,,689.0,2
2023/08/02 17:36:06,36.0,,689.0,2
2023/08/02 17:36:07,36.09999847412109,,689.0,2
2023/08/02 17:36:08,36.09999847412109,,689.0,2
2023/08/02 17:36:09,36.09999847412109,,674.0,2
2023/08/02 17:36:10,36.09999847412109,1.0,674.0,2
2023/08/02 17:36:11,36.09999847412109,1.0,666.0,2
2023/08/02 17:36:12,36.20000076293945,1.0,666.0,2
2023/08/02 17:36:13,36.20000076293945,1.0,666.0,2
2023/08/02 17:36:14,36.20000076293945,,666.0,2
2023/08/02 17:36:15,36.20000076293945,1.0,659.0,2
2023/08/02 17:36:16,36.20000076293945,1.0,659.0,2
2023/08/02 17:36:17,36.29999923706055,,659.0,2
2023/08/02 17:36:18,36.29999923706055,,659.0,2
2023/08/02 17:36:19,36.29999923706055,,659.0,2
2023/08/02 17:36:20,36.29999923706055,,659.0,2
2023/08/02 17:36:21,36.29999923706055,,645.0,2
2023/08/02 17:36:22,36.400001525878906,,631.0,2
2023/08/02 17:36:23,36.400001525878906,,631.0,2
2023/08/02 17:36:24,36.400001525878906,,631.0,2
2023/08/02 17:36:25,36.400001525878906,,645.0,2
2023/08/02 17:36:26,36.5,,652.0,2
2023/08/02 17:36:27,36.5,,652.0,2
2023/08/02 17:36:28,36.5,,652.0,2
2023/08/02 17:36:29,36.5,,645.0,2
2023/08/02 17:36:30,36.59999847412109,,645.0,2
2023/08/02 17:36:31,36.59999847412109,,645.0,2
2023/08/02 17:36:32,36.59999847412109,,645.0,2
2023/08/02 17:36:33,36.59999847412109,,659.0,2
2023/08/02 17:36:34,36.70000076293945,,659.0,2
2023/08/02 17:36:35,36.70000076293945,,659.0,2
2023/08/02 17:36:36,36.70000076293945,,659.0,2
2023/08/02 17:36:37,36.70000076293945,,652.0,2
2023/08/02 17:36:38,36.70000076293945,,645.0,2
2023/08/02 17:36:39,36.79999923706055,,645.0,2
2023/08/02 17:36:40,36.79999923706055,,645.0,2
2023/08/02 17:36:41,36.79999923706055,,638.0,2
2023/08/02 17:36:42,36.79999923706055,,638.0,2
2023/08/02 17:36:43,36.900001525878906,,638.0,2
2023/08/02 17:36:44,36.900001525878906,,638.0,2
2023/08/02 17:36:45,36.900001525878906,,645.0,2
2023/08/02 17:36:46,36.900001525878906,,645.0,2
2023/08/02 17:36:47,37.0,,645.0,2
2023/08/02 17:36:48,37.0,,645.0,2
2023/08/02 17:36:49,37.0,,645.0,2
2023/08/02 17:36:50,37.0,,638.0,2
2023/08/02 17:36:51,37.0,,638.0,2
2023/08/02 17:36:52,37.09999847412109,,638.0,2
2023/08/02 17:36:53,37.09999847412109,,638.0,2
2023/08/02 17:36:54,37.09999847412109,,638.0,2
2023/08/02 17:36:55,37.09999847412109,1.0,638.0,2
2023/08/02 17:36:56,37.20000076293945,1.0,638.0,2
2023/08/02 17:36:57,37.20000076293945,1.0,631.0,2
2023/08/02 17:36:58,37.20000076293945,1.0,625.0,2
2023/08/02 17:36:59,37.20000076293945,,625.0,2
2023/08/02 17:37:00,37.29999923706055,,625.0,2
2023/08/02 17:37:01,37.29999923706055,,625.0,2
2023/08/02 17:37:02,37.29999923706055,,625.0,2
2023/08/02 17:37:03,37.29999923706055,,625.0,2
2023/08/02 17:37:04,37.29999923706055,,625.0,2
2023/08/02 17:37:05,37.400001525878906,,625.0,2
2023/08/02 17:37:06,37.400001525878906,,618.0,2
2023/08/02 17:37:07,37.400001525878906,,618.0,2
2023/08/02 17:37:08,37.400001525878906,,618.0,2
2023/08/02 17:37:09,37.5,,618.0,2
2023/08/02 17:37:10,37.5,,612.0,2
2023/08/02 17:37:11,37.5,,612.0,2
2023/08/02 17:37:12,37.59999847412109,,612.0,2
2023/08/02 17:37:13,37.59999847412109,,612.0,2
